CN(C)c1noc2c(Br)nc(C#N)c(Br)c12
COc1cccc2c(Br)c3onc([N+](=O)[O-])c3c(Br)c12
COc1cc2c(Br)c(C(Cl)(Cl)Cl)cc(Br)c2cn1
CSc1cc2c(ccc3c(C#N)c(C)ccc32)cc1C
FC(F)(F)c1c(Br)cc(C(Cl)(Cl)Cl)c2cc(Br)cnc12
N#Cc1cc2nc(Br)cc3ccc4nc(Br)c([N+](=O)[O-])c1c4c32
COc1ccc2c(Br)c3nonc3c(Br)c2c1F
CN(C)c1c(Br)cc2ccc3c(C(=O)O)c(Br)cc4ccc1c2c43
COc1cc(Br)cc2nc3cc(C(Cl)(Cl)Cl)c(Br)cc3cc12
COC(=O)c1cc(Br)cc2c1/C(=C1\C(=O)N(C)c3cc(Br)c(N)cc31)C(=O)N2C
CN(C)C1=C(Br)C2(S(=O)(=O)O)N=NC=C2C(Br)=C1
COc1cc2nc(C)cc(C(=O)O)c2c2ccc(C)cc12
COC(=O)c1c(Br)nc2c(S)cc3cc(Br)nc4ccc1c2c34
CSc1c(C)ccc2c1ncc1cc(C)c(O)nc12
Oc1c(Br)cc2ccc3nc(Br)cc4cc(F)c1c2c43
O=S(=O)(O)c1nncc2c1=C(Br)C1N=NC(S)=C1C=2Br
COc1ccc(Br)c2cc(SC)nc(Br)c12
COc1cc(Br)c2ncnc(N)c2c1Br
COC(=O)c1cc(C#N)c2c(Br)cnc(Br)c2c1
O=C(O)c1ccc2cc3c(Br)ccnc3c(C(Cl)(Cl)Cl)c2c1Br
Nc1cc([N+](=O)[O-])c2c(Br)nccc2c1Br
O=S(=O)(O)c1nc2c(O)c3nc(Br)ccc3cc2cc1Br
Nc1cccc2c(Br)c3c(S)nsc3c(Br)c12
Oc1c2nccc(Br)c2c(C(Cl)(Cl)Cl)c2cccc(Br)c12
COC(=O)c1cc(Br)c(OC)c2c3nccnc3c3cc(Br)ccc3c12
Nc1cc2cc3cc(Br)c(O)nc3cc2cc1Br
O=[N+]([O-])c1cnc(C(F)(F)F)c2c(Br)c3ccncc3c(Br)c12
O=S(=O)(O)c1cc2cc3cc(Br)ccc3cc2c(S(=O)(=O)O)c1Br
Nc1cc(Br)nc2cnc(Br)c(C(F)(F)F)c12
COc1c(Br)ncc2nc(Br)c(S(=O)(=O)O)cc12
COc1cnc2c(Br)c3cc(O)cnc3c(Br)c2c1
FC1=C(Br)C2=CN=NC2C(Br)=C1C(Cl)(Cl)Cl
Nc1ccc2c3cc(Br)ccc3c3c([N+](=O)[O-])cc(Br)cc3c2n1
COc1c(Br)sc2c(O)c(Br)oc12
CC1(C)c2cc(Br)sc2-c2cc3c(c(O)c21)-c1sc(Br)c([N+](=O)[O-])c1C3(C)C
CSc1c(Br)cc2cc3cnc(Br)cc3cc2c1[N+](=O)[O-]
CSc1ccc(Br)c2cnc(S)c(Br)c12
O=S(=O)(O)c1c(Br)oc2c1oc1c(O)c(Br)oc12
O=C(O)c1c2cc(Br)oc2c(F)c2cc(Br)oc12
CSc1cc(Br)nc2c(C(Cl)(Cl)Cl)cc(Br)cc12
FC(F)(F)c1ncc2c(Br)ncc(C(F)(F)F)c2c1Br
CN(C)c1c(S)c2cc(Br)nc3ccc4cc(Br)nc1c4c32
O=S1(=O)C(Br)=C(S)C(C(F)(F)F)=C1Br
COc1c(Br)sc2c3c(O)c4c(cc3n(C)c12)c1sc(Br)cc1n4C
CSc1cnc2c(Br)c(S)cc(Br)c2c1
COC(=O)c1nncc2c1=C(Br)C1=CN=NC1C=2Br
O=S(=O)(O)c1cc2cc(Br)nc3c(S(=O)(=O)O)cc4cc(Br)cc1c4c23
COC(=O)c1c(Br)ccc2cc3cc(Br)ncc3c(S(=O)(=O)O)c12
O=C(O)c1cc2cc(Br)cc(S)c2cc1Br
COc1cc2c(Br)ccc(Br)c2nc1S(=O)(=O)O
COc1ccc2c(Br)c3cnsc3c(Br)c2c1C#N
COC(=O)c1cc2cc(C)cnc2c2cc(C#N)c(C)cc12
N#Cc1ccc2c(Br)ncc(N)c2c1Br
Cc1cc2c(O)cc3nc(C)ccc3c2c(C#N)n1
CN(C)C1=C2C(Br)=C(C#N)N=C(Br)C2N=N1
COc1c(Br)c([N+](=O)[O-])cc2cc3cc(Br)ccc3nc12
COc1nc2c([N+](=O)[O-])c(Br)ccc2cc1Br
Oc1c(Br)c(F)c2ccc3nc(Br)cc4ccc1c2c43
COc1c(Br)ccc2nc(Br)c(S)cc12
O=C(O)c1c(Br)ccc2c3ccc(Br)cc3c3nc(O)cnc3c12
CSc1c(Br)sc2c1C(C)(C)c1c-2sc(Br)c1O
N#Cc1ccc2c(c1)c1cc(Br)ccc1c1c([N+](=O)[O-])cc(Br)cc21
Oc1ncc2c(Br)cnc(Br)c2c1C(F)(F)F
Cn1c(=O)c2nc(Br)sc2c2sc3c(sc4c5sc(Br)nc5c(=O)n(C)c(=O)c43)c2c1=O
O=C(O)c1cc([N+](=O)[O-])c2c(Br)c3cccnc3c(Br)c2c1
COC(=O)c1c(Br)nc2ccc(Br)cc2c1S
CSc1cc2c(cc1Br)oc1cc(Br)c(F)cc12
FC(F)(F)c1c(Br)cc2ccc3cc(Br)c(C(F)(F)F)c4ccc1c2c34
CN(C)c1cnc(C#N)c2c(Br)sc(Br)c12
O=C(O)c1cc2cc(Br)c(C(Cl)(Cl)Cl)nc2nc1Br
O=S(=O)(O)c1nc2cc3cc(Br)cc(F)c3cc2cc1Br
CSc1c(Br)oc2c1sc1c(O)c(Br)oc12
CSc1cc(C#N)c2c(Br)ccc(Br)c2n1
Oc1c(C(F)(F)F)c(Br)cc2sc3cc(Br)ccc3c12
COC(=O)c1nc(SC)nc2c(Br)sc(Br)c12
CN(C)c1cc(Br)cc2nc3ccc(Br)cc3nc12
CSc1cc2c(Br)oc(Br)c2cc1F
Cc1ccc2c(ccc3cc(C)c(C(F)(F)F)c(F)c32)c1
